prompt,output,tags
How does the Constitution of India address ports and shipping?,"The Constitution of India addresses ports, shipping, and navigation on inland waterways through entries 31 and 32 of the State List under the Seventh Schedule. It covers ports other than major ports, mechanically propelled vessels, the rule of the road on waterways, and the carriage of passengers and goods on inland waterways, subject to provisions of List I with respect to national waterways.","['the', 'how', 'constitution', 'india', 'address', 'and', 'does', 'of', 'ports', 'shipping']"
What subjects are covered under the Constitution of India related to trade and commerce?,"The Constitution of India covers subjects related to trade and commerce in entry 33 of the State List under the Seventh Schedule. It includes the production, supply, and distribution of products of industries where the control is declared by Parliament to be expedient in the public interest, imported goods of the same kind, foodstuffs, cattle fodder, raw cotton, and raw jute.","['what', 'the', 'covered', 'subjects', 'related', 'are', 'to', 'constitution', 'india', 'and', 'of', 'trade', 'commerce', 'under']"
How does the Constitution of India address weights and measures?,"The Constitution of India addresses weights and measures, except the establishment of standards, under entry 33A of the State List in the Seventh Schedule.","['the', 'how', 'measures', 'constitution', 'india', 'address', 'weights', 'does', 'of', 'and']"
What subjects are covered under the Constitution of India related to price control?,The Constitution of India covers price control in entry 34 of the State List under the Seventh Schedule.,"['what', 'the', 'price', 'covered', 'subjects', 'control', 'related', 'are', 'to', 'constitution', 'india', 'of', 'under']"
How does the Constitution of India address mechanically propelled vehicles?,"The Constitution of India addresses mechanically propelled vehicles, including the principles on which taxes on such vehicles are to be levied, under entry 35 of the State List in the Seventh Schedule.","['propelled', 'the', 'how', 'constitution', 'india', 'address', 'does', 'of', 'mechanically', 'vehicles']"
What subjects are covered under the Constitution of India related to factories and electricity?,"The subjects covered under the Constitution of India related to factories and electricity include factories (entry 36), boilers (entry 37), and electricity (entry 38) in the State List under the Seventh Schedule.","['what', 'the', 'covered', 'subjects', 'electricity', 'related', 'are', 'to', 'constitution', 'india', 'factories', 'and', 'of', 'under']"
"How does the Constitution of India address newspapers, books, and printing presses?","The Constitution of India addresses newspapers, books, and printing presses under entry 39 of the State List in the Seventh Schedule.","['the', 'how', 'newspapers', 'printing', 'constitution', 'india', 'address', 'and', 'does', 'of', 'presses', 'books']"
What subjects are covered under the Constitution of India related to archaeological sites?,"The Constitution of India covers archaeological sites and remains other than those declared by or under law made by Parliament to be of national importance, under entry 40 of the State List in the Seventh Schedule.","['what', 'the', 'covered', 'subjects', 'related', 'are', 'to', 'constitution', 'india', 'archaeological', 'sites', 'of', 'under']"
How does the Constitution of India address evacuee property?,"The Constitution of India addresses the custody, management, and disposal of property (including agricultural land) declared by law to be evacuee property under entry 41 of the State List in the Seventh Schedule.","['the', 'how', 'property', 'constitution', 'india', 'address', 'does', 'of', 'evacuee']"
What subjects are covered under the Constitution of India related to acquisition and requisitioning of property?,The Constitution of India covers acquisition and requisitioning of property under entry 42 of the State List in the Seventh Schedule.,"['what', 'the', 'property', 'covered', 'acquisition', 'subjects', 'requisitioning', 'related', 'are', 'to', 'constitution', 'india', 'and', 'of', 'under']"
How does the Constitution of India address recovery of claims in respect of taxes?,"The Constitution of India addresses the recovery in a state of claims in respect of taxes and other public demands, including arrears of land-revenue and sums recoverable as such arrears, arising outside that state under entry 43 of the State List in the Seventh Schedule.","['the', 'how', 'recovery', 'constitution', 'india', 'address', 'respect', 'does', 'of', 'in', 'claims', 'taxes']"
What subjects are covered under the Constitution of India related to stamp duties?,"The Constitution of India covers stamp duties other than duties or fees collected by means of judicial stamps, but not including rates of stamp duty, under entry 44 of the State List in the Seventh Schedule.","['what', 'the', 'covered', 'subjects', 'related', 'are', 'to', 'duties', 'constitution', 'india', 'of', 'stamp', 'under']"
How does the Constitution of India address inquiries and statistics for matters specified in List II or List III?,The Constitution of India addresses inquiries and statistics for the purposes of any of the matters specified in List II (State List) or List III (Concurrent List) under entry 45 of the State List in the Seventh Schedule.,"['ii', 'the', 'how', 'list', 'iii', 'or', 'statistics', 'constitution', 'india', 'address', 'and', 'does', 'of', 'for', 'in', 'inquiries', 'specified', 'matters']"
What is the Eleventh Schedule of the Indian Constitution?,"The Eleventh Schedule of the Indian Constitution, added by the 73rd Amendment Act, lists the powers, responsibilities, and functions of the Panchayats, which are local self-government institutions in rural areas. It contains 29 subjects, including agriculture, land improvement, minor irrigation, animal husbandry, fisheries, social forestry, small scale industries, rural housing, drinking water, roads, rural electrification, poverty alleviation, education, health, and welfare of the weaker sections.","['what', 'the', 'constitution', 'of', 'eleventh', 'is', 'indian', 'schedule']"
What is the Twelfth Schedule of the Indian Constitution?,"The Twelfth Schedule of the Indian Constitution, added by the 74th Amendment Act, lists the powers, responsibilities, and functions of the Municipalities, which are local self-government institutions in urban areas. It contains 18 subjects, including urban planning, regulation of land-use, roads and bridges, water supply, public health, sanitation, fire services, urban forestry, slum improvement, urban poverty alleviation, provision of urban amenities, promotion of cultural and educational aspects, and regulation of slaughter houses and tanneries.","['what', 'the', 'constitution', 'twelfth', 'of', 'is', 'indian', 'schedule']"
Which amendment act added the Eleventh Schedule to the Indian Constitution?,The 73rd Amendment Act of 1992 added the Eleventh Schedule to the Indian Constitution.,"['the', 'amendment', 'which', 'to', 'constitution', 'added', 'eleventh', 'indian', 'schedule', 'act']"
Which amendment act added the Twelfth Schedule to the Indian Constitution?,The 74th Amendment Act of 1992 added the Twelfth Schedule to the Indian Constitution.,"['the', 'amendment', 'which', 'to', 'constitution', 'twelfth', 'added', 'indian', 'schedule', 'act']"
What is the significance of the Eleventh Schedule in the Indian Constitution?,"The Eleventh Schedule is significant because it decentralizes power and gives more authority to Panchayats (local self-government institutions in rural areas) to manage and develop their respective regions. By listing 29 subjects, it ensures that Panchayats have the power to address various aspects of rural life, such as agriculture, land reforms, water management, animal husbandry, rural housing, and education, among others. This promotes grassroots democracy, empowers local communities, and fosters rural development.","['what', 'significance', 'the', 'constitution', 'in', 'of', 'eleventh', 'is', 'indian', 'schedule']"
What is the significance of the Twelfth Schedule in the Indian Constitution?,"The Twelfth Schedule is significant because it decentralizes power and gives more authority to Municipalities (local self-government institutions in urban areas) to manage and develop their respective regions. By listing 18 subjects, it ensures that Municipalities have the power to address various aspects of urban life, such as urban planning, land-use regulation, water supply, public health, sanitation, and urban poverty alleviation, among others. This promotes urban development, empowers local communities, and fosters efficient city management.","['what', 'significance', 'the', 'constitution', 'twelfth', 'in', 'of', 'is', 'indian', 'schedule']"
What are some subjects included in the Eleventh Schedule related to education and health?,"Some subjects included in the Eleventh Schedule related to education and health are: (1) education, including primary and secondary schools, (2) technical training and vocational education, (3) adult and non-formal education, (4) libraries, (5) cultural activities, (6) health and sanitation, including hospitals, primary health centres, and dispensaries, (7) family welfare, and (8) women and child development.","['what', 'the', 'subjects', 'some', 'related', 'are', 'to', 'health', 'and', 'in', 'education', 'eleventh', 'schedule', 'included']"
What are some subjects included in the Twelfth Schedule related to urban planning and infrastructure?,"Some subjects included in the Twelfth Schedule related to urban planning and infrastructure are: (1) urban planning, including town planning, (2) regulation of land-use and construction of buildings, (3) planning for economic and social development, (4) roads and bridges, (5) water supply for domestic, industrial, and commercial purposes, (6) public health, sanitation conservancy, and solid waste management, (7) fire services, and (8) public amenities, including street lighting, parking lots, bus stops, and public conveniences.","['what', 'the', 'subjects', 'urban', 'some', 'related', 'are', 'to', 'twelfth', 'and', 'in', 'planning', 'schedule', 'infrastructure', 'included']"
What is the main objective of the Panchayats as per the Eleventh Schedule of the Indian Constitution?,"The main objective of the Panchayats, as per the Eleventh Schedule of the Indian Constitution, is to ensure effective local self-governance in rural areas by empowering them with powers, responsibilities, and functions related to various aspects of rural life. This includes agriculture, land improvement, water management, animal husbandry, rural housing, education, health, and welfare of the weaker sections, among others. This promotes grassroots democracy, empowers local communities, and fosters rural development.","['panchayats', 'what', 'as', 'the', 'main', 'per', 'constitution', 'objective', 'of', 'eleventh', 'is', 'indian', 'schedule']"
What is the main objective of the Municipalities as per the Twelfth Schedule of the Indian Constitution?,"The main objective of the Municipalities, as per the Twelfth Schedule of the Indian Constitution, is to ensure effective local self-governance in urban areas by empowering them with powers, responsibilities, and functions related to various aspects of urban life. This includes urban planning, land-use regulation, water supply, public health, sanitation, urban poverty alleviation, provision of urban amenities, and promotion of cultural and educational aspects, among others. This promotes urban development, empowers local communities, and fosters efficient city management.","['what', 'as', 'the', 'main', 'per', 'constitution', 'twelfth', 'objective', 'of', 'is', 'indian', 'schedule', 'municipalities']"
How do the Eleventh and Twelfth Schedules of the Indian Constitution promote decentralization?,"The Eleventh and Twelfth Schedules of the Indian Constitution promote decentralization by empowering local self-government institutions, Panchayats in rural areas, and Municipalities in urban areas. By listing the subjects related to various aspects of rural and urban life, these schedules enable these institutions to exercise powers, responsibilities, and functions in their respective regions. This enhances grassroots democracy, fosters development, and ensures that decision-making is more attuned to the needs and aspirations of local communities.","['the', 'do', 'how', 'schedules', 'constitution', 'twelfth', 'and', 'promote', 'of', 'eleventh', 'indian', 'decentralization']"
How many subjects are listed in the Eleventh Schedule of the Indian Constitution?,There are 29 subjects listed in the Eleventh Schedule of the Indian Constitution.,"['the', 'how', 'subjects', 'listed', 'are', 'constitution', 'in', 'of', 'eleventh', 'indian', 'schedule', 'many']"
How many subjects are listed in the Twelfth Schedule of the Indian Constitution?,There are 18 subjects listed in the Twelfth Schedule of the Indian Constitution.,"['the', 'how', 'subjects', 'listed', 'are', 'constitution', 'twelfth', 'in', 'of', 'indian', 'schedule', 'many']"
What is the primary difference between the Eleventh and Twelfth Schedules of the Indian Constitution?,"The primary difference between the Eleventh and Twelfth Schedules of the Indian Constitution is their focus on different types of local self-government institutions. The Eleventh Schedule lists the powers, responsibilities, and functions of the Panchayats, which are local self-government institutions in rural areas, while the Twelfth Schedule lists the powers, responsibilities, and functions of the Municipalities, which are local self-government institutions in urban areas.","['what', 'the', 'difference', 'primary', 'schedules', 'constitution', 'twelfth', 'and', 'of', 'eleventh', 'is', 'indian', 'between']"
Which schedule of the Indian Constitution deals with the powers of Panchayats?,The Eleventh Schedule of the Indian Constitution deals with the powers of Panchayats.,"['with', 'panchayats', 'the', 'deals', 'which', 'constitution', 'powers', 'of', 'indian', 'schedule']"
Which schedule of the Indian Constitution deals with the powers of Municipalities?,The Twelfth Schedule of the Indian Constitution deals with the powers of Municipalities.,"['with', 'the', 'deals', 'which', 'constitution', 'powers', 'of', 'indian', 'schedule', 'municipalities']"
When were the Eleventh and Twelfth Schedules added to the Indian Constitution?,"The Eleventh and Twelfth Schedules were added to the Indian Constitution in 1992 through the 73rd and 74th Amendment Acts, respectively.","['the', 'schedules', 'to', 'when', 'twelfth', 'added', 'and', 'constitution', 'were', 'eleventh', 'indian']"
What are some subjects included in the Twelfth Schedule related to environment and weaker sections of society?,"Some subjects included in the Twelfth Schedule related to the environment and weaker sections of society are: (1) urban forestry, protection of the environment and promotion of ecological aspects, (2) safeguarding the interests of weaker sections of society, including the handicapped and mentally retarded, and (3) slum improvement and upgradation.","['what', 'weaker', 'the', 'environment', 'subjects', 'some', 'related', 'are', 'to', 'sections', 'society', 'twelfth', 'and', 'in', 'of', 'schedule', 'included']"
What are some subjects included in the Eleventh Schedule related to infrastructure and public amenities?,"Some subjects included in the Eleventh Schedule related to infrastructure and public amenities are: (1) roads, culverts, bridges, ferries, waterways, and other means of communication, (2) rural electrification, including distribution of electricity, (3) non-conventional energy sources, (4) drinking water, and (5) fuel and fodder.","['what', 'the', 'amenities', 'subjects', 'some', 'related', 'are', 'to', 'and', 'in', 'public', 'eleventh', 'schedule', 'infrastructure', 'included']"
What is the Third Schedule in the Constitution of India?,"The Third Schedule of the Constitution of India contains the Forms of Oaths or Affirmations for various positions, including Ministers for the Union, Ministers for a State, members of Parliament, Judges of the Supreme Court, the Comptroller and Auditor-General of India, members of the Legislature of a State, and Judges of a High Court. These oaths or affirmations are taken by individuals when they assume their respective positions, pledging their allegiance to the Constitution of India and promising to uphold the sovereignty and integrity of the country.","['what', 'the', 'constitution', 'india', 'in', 'of', 'is', 'schedule', 'third']"
What is the purpose of the oaths or affirmations in the Constitution of India?,"The purpose of the oaths or affirmations in the Constitution of India is to ensure that individuals holding important positions in the government pledge their allegiance to the Constitution and commit to upholding the sovereignty and integrity of India. Additionally, the oaths or affirmations emphasize the commitment to faithfully discharge their duties without fear, favor, affection, or ill-will, thereby promoting impartiality, dedication, and adherence to the principles enshrined in the Constitution.","['what', 'the', 'oaths', 'or', 'affirmations', 'purpose', 'constitution', 'india', 'in', 'of', 'is']"
What is the form of oath for a Minister for the Union?,"The form of oath for a Minister for the Union is: 'I, A.B., do swear in the name of God (or solemnly affirm) that I will bear true faith and allegiance to the Constitution of India as by law established, that I will uphold the sovereignty and integrity of India, that I will faithfully and conscientiously discharge my duties as a Minister for the Union and that I will do right to all manner of people in accordance with the Constitution and the law, without fear or favor, affection or ill-will.'","['what', 'the', 'a', 'minister', 'oath', 'union', 'form', 'for', 'of', 'is']"
What is the form of oath for a Minister for a State?,"The form of oath for a Minister for a State is: 'I, A.B., do swear in the name of God (or solemnly affirm) that I will bear true faith and allegiance to the Constitution of India as by law established, that I will uphold the sovereignty and integrity of India, that I will faithfully and conscientiously discharge my duties as a Minister for the State of ..........and that I will do right to all manner of people in accordance with the Constitution and the law without fear or favor, affection or ill-will.'","['what', 'the', 'a', 'minister', 'oath', 'state', 'form', 'for', 'of', 'is']"
What is the form of oath for a member of Parliament?,"The form of oath for a member of Parliament is: 'I, A.B., having been elected (or nominated) a member of the Council of States (or the House of the People) do swear in the name of God (or solemnly affirm) that I will bear true faith and allegiance to the Constitution of India as by law established, that I will uphold the sovereignty and integrity of India and that I will faithfully discharge the duty upon which I am about to enter.'","['what', 'the', 'a', 'oath', 'form', 'parliament', 'for', 'of', 'is', 'member']"
What is the form of oath for Judges of the Supreme Court?,"The form of oath for Judges of the Supreme Court is: 'I, A.B., having been appointed Chief Justice (or a Judge) of the Supreme Court of India (or Comptroller and Auditor-General of India) do swear in the name of God (or solemnly affirm) that I will bear true faith and allegiance to the Constitution of India as by law established, that I will uphold the sovereignty and integrity of India, that I will duly and faithfully and to the best of my ability, knowledge and judgment perform the duties of my office without fear or favor, affection or ill-will and that I will uphold the Constitution and the laws.'","['what', 'judges', 'the', 'oath', 'court', 'form', 'for', 'supreme', 'of', 'is']"
What is the form of oath for the Comptroller and Auditor-General of India?,"The form of oath for the Comptroller and Auditor-General of India is the same as the Judges of the Supreme Court: 'I, A.B., having been appointed Chief Justice (or a Judge) of the Supreme Court of India (or Comptroller and Auditor-General of India) do swear in the name of God (or solemnly affirm) that I will bear true faith and allegiance to the Constitution of India as by law established, that I will uphold the sovereignty and integrity of India, that I will duly and faithfully and to the best of my ability, knowledge and judgment perform the duties of my office without fear or favor, affection or ill-will and that I will uphold the Constitution and the laws.'","['what', 'the', 'oath', 'auditorgeneral', 'comptroller', 'form', 'india', 'for', 'and', 'of', 'is']"
What is the form of oath for a member of the Legislature of a State?,"The form of oath for a member of the Legislature of a State is: 'I, A.B., having been elected (or nominated) a member of the Legislative Assembly (or Legislative Council), do swear in the name of God (or solemnly affirm) that I will bear true faith and allegiance to the Constitution of India as by law established, that I will uphold the sovereignty and integrity of India and that I will faithfully discharge the duty upon which I am about to enter.'","['what', 'the', 'a', 'oath', 'legislature', 'state', 'form', 'for', 'of', 'is', 'member']"
What is the form of oath for Judges of a High Court?,"The form of oath for Judges of a High Court is: 'I, A.B., having been appointed Chief Justice (or a Judge) of the High Court at (or of) ………-….. do swear in the name of God (or solemnly affirm) that I will bear true faith and allegiance to the Constitution of India as by law established, that I will uphold the sovereignty and integrity of India, that I will duly and faithfully and to the best of my ability, knowledge and judgment perform the duties of my office without fear or favor, affection or ill-will and that I will uphold the Constitution and the laws.'","['what', 'judges', 'the', 'high', 'a', 'oath', 'court', 'form', 'for', 'of', 'is']"
What is the form of oath for a candidate for election to Parliament?,"The form of oath for a candidate for election to Parliament is: 'I, A.B., having been nominated as a candidate to fill a seat in the Council of States (or the House of the People) do swear in the name of God (or solemnly affirm) that I will bear true faith and allegiance to the Constitution of India as by law established and that I will uphold the sovereignty and integrity of India.'","['what', 'the', 'a', 'oath', 'to', 'form', 'election', 'for', 'parliament', 'of', 'is', 'candidate']"
What is the form of oath for a candidate for election to the Legislature of a State?,"The form of oath for a candidate for election to the Legislature of a State is: 'I, A.B., having been nominated as a candidate to fill a seat in the Legislative Assembly (or Legislative Council), do swear in the name of God (or solemnly affirm) that I will bear true faith and allegiance to the Constitution of India as by law established and that I will uphold the sovereignty and integrity of India.'","['what', 'the', 'a', 'oath', 'legislature', 'state', 'to', 'form', 'election', 'for', 'of', 'is', 'candidate']"
What is the form of oath of secrecy for a Minister for the Union?,"The form of oath of secrecy for a Minister for the Union is: 'I, A.B., do swear in the name of God (or solemnly affirm) that I will not directly or indirectly communicate or reveal to any person or persons any matter which shall be brought under my consideration or shall become known to me as a Minister for the Union except as may be required for the due discharge of my duties as such Minister.'","['what', 'the', 'a', 'minister', 'secrecy', 'oath', 'union', 'form', 'for', 'of', 'is']"
What is the form of oath of secrecy for a Minister for a State?,"The form of oath of secrecy for a Minister for a State is: 'I, A.B., do swear in the name of God (or solemnly affirm) that I will not directly or indirectly communicate or reveal to any person or persons any matter which shall be brought under my consideration or shall become known to me as a Minister for the State of ....................except as may be required for the due discharge of my duties as such Minister.'","['what', 'the', 'a', 'minister', 'secrecy', 'oath', 'state', 'form', 'for', 'of', 'is']"
Can the oaths or affirmations be taken by swearing in the name of God or by solemnly affirming?,"Yes, the oaths or affirmations in the Constitution of India can be taken either by swearing in the name of God or by solemnly affirming, depending on the individual's personal beliefs and preferences. The text of the oaths or affirmations includes both options to accommodate the diverse religious beliefs and practices in India.","['the', 'oaths', 'affirming', 'affirmations', 'taken', 'by', 'swearing', 'solemnly', 'be', 'in', 'of', 'god', 'or', 'name', 'can']"
Do the oaths or affirmations include a commitment to uphold the sovereignty and integrity of India?,"Yes, the oaths or affirmations in the Constitution of India include a commitment to uphold the sovereignty and integrity of India. This is an essential part of the pledges taken by individuals in various positions, emphasizing their responsibility to protect and maintain the unity and security of the nation.","['the', 'do', 'commitment', 'a', 'oaths', 'affirmations', 'to', 'uphold', 'integrity', 'include', 'india', 'sovereignty', 'and', 'of', 'or']"
Are the oaths or affirmations meant to promote impartiality and adherence to the Constitution?,"Yes, the oaths or affirmations in the Constitution of India are meant to promote impartiality and adherence to the Constitution. By swearing or affirming to perform their duties without fear, favor, affection, or ill-will, individuals in various positions commit to carrying out their responsibilities in an unbiased manner, guided by the principles and laws enshrined in the Constitution.","['meant', 'the', 'oaths', 'impartiality', 'affirmations', 'are', 'to', 'adherence', 'constitution', 'promote', 'and', 'or']"
What is the significance of including these oaths or affirmations in the Constitution of India?,"The inclusion of these oaths or affirmations in the Constitution of India serves several purposes. It emphasizes the importance of the Constitution as the supreme law of the land, ensuring that individuals in key positions commit to upholding its principles. It also helps instill a sense of responsibility, dedication, and impartiality in those who take the oaths, reinforcing their commitment to the sovereignty and integrity of India and to the faithful performance of their duties.","['what', 'significance', 'the', 'oaths', 'including', 'these', 'or', 'affirmations', 'constitution', 'india', 'in', 'of', 'is']"
What emoluments are paid to the President and Governors of States as per the Second Schedule?,"As per the Second Schedule, the President is paid emoluments of 10,000 rupees per month (now 1,50,000 rupees as per Act 28 of 2008), while the Governor of a State is paid 5,500 rupees per month (now 1,10,000 rupees as per Act 1 of 2009).","['what', 'as', 'the', 'per', 'to', 'are', 'paid', 'states', 'governors', 'and', 'president', 'emoluments', 'of', 'schedule', 'second']"
What allowances are paid to the President and Governors of States?,The President and Governors of States are paid allowances similar to those payable to the Governor-General of the Dominion of India and the Governors of the corresponding Provinces immediately before the commencement of the Constitution.,"['what', 'the', 'to', 'are', 'paid', 'states', 'governors', 'and', 'president', 'of', 'allowances']"
Are the President and Governors of States entitled to any privileges?,"Yes, the President and Governors of States are entitled to the same privileges as those enjoyed by the Governor-General and the Governors of the corresponding Provinces immediately before the commencement of the Constitution.","['the', 'any', 'are', 'entitled', 'to', 'states', 'governors', 'privileges', 'and', 'president', 'of']"
"What are the emoluments, allowances, and privileges of a person discharging the functions of the President or a Governor?","A person discharging the functions of, or acting as, the President or a Governor is entitled to the same emoluments, allowances, and privileges as the President or the Governor whose functions they are discharging or for whom they are acting, as the case may be.","['person', 'what', 'the', 'functions', 'governor', 'a', 'or', 'are', 'privileges', 'and', 'of', 'emoluments', 'discharging', 'allowances', 'president']"
What are the salaries and allowances paid to the Speaker and Deputy Speaker of the House of the People and the Chairman and Deputy Chairman of the Council of States?,The salaries and allowances paid to the Speaker of the House of the People and the Chairman of the Council of States are the same as those payable to the Speaker of the Constituent Assembly of the Dominion of India immediately before the commencement of the Constitution. The Deputy Speaker of the House of the People and the Deputy Chairman of the Council of States receive salaries and allowances equal to those payable to the Deputy Speaker of the Constituent Assembly of the Dominion of India immediately before the commencement of the Constitution.,"['what', 'the', 'speaker', 'people', 'deputy', 'are', 'to', 'paid', 'states', 'house', 'salaries', 'and', 'of', 'chairman', 'council', 'allowances']"
What are the salaries and allowances paid to the Speaker and Deputy Speaker of the Legislative Assembly and the Chairman and Deputy Chairman of the Legislative Council of a State?,"The salaries and allowances paid to the Speaker and Deputy Speaker of the Legislative Assembly and the Chairman and Deputy Chairman of the Legislative Council of a State are the same as those payable respectively to the Speaker and Deputy Speaker of the Legislative Assembly and the President and Deputy President of the Legislative Council of the corresponding Province immediately before the commencement of the Constitution. If the corresponding Province had no Legislative Council, the Governor of the State may determine the salaries and allowances payable to the Chairman and Deputy Chairman of the Legislative Council of the State.","['what', 'the', 'speaker', 'a', 'state', 'deputy', 'are', 'to', 'paid', 'assembly', 'salaries', 'and', 'of', 'chairman', 'council', 'allowances', 'legislative']"
What are the salaries paid to the Judges of the Supreme Court?,"The salaries paid to the Judges of the Supreme Court are as follows: The Chief Justice receives 10,000 rupees per month (now 1,00,000 rupees as per Act 23 of 2009), while any other Judge receives 9,000 rupees per month (now 90,000 rupees as per Act 23 of 2009).","['what', 'judges', 'the', 'court', 'are', 'to', 'paid', 'salaries', 'supreme', 'of']"
What are the salaries paid to the Judges of High Courts?,"The salaries paid to the Judges of High Courts are as follows: The Chief Justice receives 9,000 rupees per month (now 90,000 rupees as per Act 23 of 2009), while any other Judge receives 8,000 rupees per month (now 80,000 rupees as per Act 23 of 2009).","['what', 'judges', 'the', 'high', 'are', 'to', 'paid', 'courts', 'salaries', 'of']"
What is the salary of the Comptroller and Auditor-General of India?,"The Comptroller and Auditor-General of India is paid a salary of 4,000 rupees per month (now equal to the salary of the Judges of the Supreme Court, which is 90,000 rupees per month as per Act 23 of 2009).","['what', 'the', 'salary', 'auditorgeneral', 'comptroller', 'india', 'and', 'of', 'is']"
What are the rights and conditions of service of the Comptroller and Auditor-General of India?,"The rights in respect of leave of absence, pension, and other conditions of service of the Comptroller and Auditor-General of India are governed by the provisions that were applicable to the Auditor-General of India immediately before the commencement of the Constitution. All references in those provisions to the Governor-General are construed as references to the President.","['what', 'the', 'rights', 'auditorgeneral', 'are', 'service', 'comptroller', 'conditions', 'india', 'and', 'of']"
What does the term 'actual service' include for Judges as per the Second Schedule?,"As per the Second Schedule, 'actual service' for Judges includes time spent on duty as a Judge or in performing other functions at the request of the President, vacations (excluding leave), and joining time on transfer from a High Court to the Supreme Court or from one High Court to another.","['what', 'judges', 'the', 'second', 'per', 'service', 'include', 'for', 'does', 'as', 'schedule', 'term', 'actual']"
What is the entitlement of Judges of the Supreme Court in terms of official residence?,Every Judge of the Supreme Court is entitled to the use of an official residence without the payment of rent.,"['official', 'what', 'judges', 'the', 'residence', 'court', 'terms', 'supreme', 'entitlement', 'of', 'in', 'is']"
What allowances and facilities are provided to Judges of the Supreme Court for traveling?,"Judges of the Supreme Court receive reasonable allowances to reimburse them for expenses incurred while traveling on duty within the territory of India, and are afforded reasonable facilities in connection with traveling as prescribed by the President from time to time.","['provided', 'what', 'judges', 'the', 'facilities', 'court', 'are', 'to', 'for', 'and', 'supreme', 'of', 'allowances', 'traveling']"
"What provisions govern the rights in respect of leave of absence, pension, and other conditions of service of the Judges of the Supreme Court?","The rights in respect of leave of absence (including leave allowances), pension, and other conditions of service of the Judges of the Supreme Court are governed by the provisions that were applicable to the Judges of the Federal Court immediately before the commencement of the Constitution.","['what', 'judges', 'the', 'pension', 'provisions', 'absence', 'rights', 'court', 'service', 'conditions', 'respect', 'and', 'in', 'govern', 'supreme', 'of', 'other', 'leave']"
What is the definition of 'Chief Justice' and 'Judge' in the Second Schedule?,"In the Second Schedule, the expression 'Chief Justice' includes an acting Chief Justice, and a 'Judge' includes an ad hoc Judge, unless the context otherwise requires.","['what', 'the', 'definition', 'chief', 'judge', 'justice', 'and', 'in', 'of', 'is', 'schedule', 'second']"
What are the provisions regarding the reduction of salary for Judges of the Supreme Court and High Courts receiving a pension?,"If a Judge of the Supreme Court or a High Court at the time of appointment is in receipt of a pension (other than a disability or wound pension) in respect of any previous service, their salary for service in the Supreme Court or High Court shall be reduced by the amount of that pension, the amount of any commuted value of a portion of the pension, and the pension equivalent of any retirement gratuity received before their appointment.","['what', 'judges', 'the', 'high', 'provisions', 'a', 'pension', 'salary', 'reduction', 'court', 'are', 'courts', 'for', 'supreme', 'and', 'regarding', 'receiving', 'of']"
What are the special pay provisions for Judges who held office before the commencement of the Constitution?,"Judges who held office before the commencement of the Constitution, either as Chief Justice or any other Judge of the Federal Court or High Court in any Province, and who were drawing a salary higher than the specified rate, are entitled to receive special pay equal to the difference between the specified salary and the salary they were drawing immediately before the commencement of the Constitution.","['before', 'what', 'judges', 'the', 'provisions', 'who', 'office', 'special', 'are', 'pay', 'constitution', 'held', 'for', 'of', 'commencement']"
What are the provisions for allowances in addition to salary for the Chief Justice of the High Court of a former Part B State?,"Any person who, immediately before the commencement of the Constitution (Seventh Amendment) Act, 1956, was holding office as the Chief Justice of the High Court of a State specified in Part B of the First Schedule and has become the Chief Justice of the High Court of a State specified in the amended Schedule, shall be entitled to receive the same amount as allowance in addition to the salary specified in sub-paragraph (1), if they were drawing any amount as allowance before such commencement.","['a', 'justice', 'court', 'are', 'for', 'in', 'chief', 'allowances', 'high', 'the', 'salary', 'to', 'part', 'b', 'of', 'what', 'former', 'provisions', 'state', 'addition']"
What are the provisions for the use of official residence by the Judges of the High Court?,"The Second Schedule does not provide specific provisions for the use of an official residence by the Judges of the High Court. However, it is likely that they are provided with official residences as part of their terms of service.","['official', 'what', 'judges', 'the', 'high', 'provisions', 'residence', 'court', 'are', 'for', 'of', 'by', 'use']"
Are there any provisions regarding allowances and facilities for Judges of the High Court for traveling?,"The Second Schedule does not provide specific provisions for allowances and facilities for Judges of the High Court for traveling. However, it is likely that they receive allowances and facilities similar to those provided to Judges of the Supreme Court as part of their terms of service.","['high', 'judges', 'the', 'provisions', 'any', 'facilities', 'there', 'court', 'are', 'for', 'and', 'regarding', 'of', 'allowances', 'traveling']"
What is the purpose of the Tenth Schedule of the Indian Constitution?,"The Tenth Schedule of the Indian Constitution deals with provisions related to disqualification of members of Parliament and State Legislatures on the grounds of defection. It aims to curb political instability caused by elected representatives switching parties or disobeying party directives during voting in the House. The provisions in the Tenth Schedule detail the conditions under which a member can be disqualified, exemptions for certain office-holders, and the procedure for deciding on questions of disqualification.","['what', 'the', 'purpose', 'tenth', 'constitution', 'of', 'is', 'indian', 'schedule']"
